Clock cycle: 20, Requests in queue: 0, Servers: 10
Clock cycle: 1879, Requests in queue: 105, Servers: 10
Clock cycle: 1880, Requests in queue: 105, Servers: 10
Clock cycle: 1881, Requests in queue: 105, Servers: 10
Clock cycle: 1882, Requests in queue: 105, Servers: 10
Clock cycle: 1883, Requests in queue: 105, Servers: 10
Clock cycle: 1884, Requests in queue: 105, Servers: 10
Clock cycle: 1885, Requests in queue: 105, Servers: 10
Clock cycle: 1886, Requests in queue: 105, Servers: 10
Clock cycle: 1888, Requests in queue: 106, Servers: 10
Clock cycle: 1889, Requests in queue: 106, Servers: 10
Clock cycle: 1890, Requests in queue: 106, Servers: 10
Clock cycle: 1891, Requests in queue: 106, Servers: 10
Clock cycle: 1892, Requests in queue: 106, Servers: 10
Clock cycle: 1893, Requests in queue: 106, Servers: 10
Clock cycle: 1894, Requests in queue: 106, Servers: 10
Clock cycle: 1895, Requests in queue: 106, Servers: 10
Clock cycle: 1896, Requests in queue: 106, Servers: 10
Clock cycle: 1897, Requests in queue: 106, Servers: 10
Clock cycle: 1898, Requests in queue: 106, Servers: 10
Clock cycle: 1900, Requests in queue: 107, Servers: 10
Clock cycle: 1901, Requests in queue: 107, Servers: 10
Clock cycle: 1902, Requests in queue: 107, Servers: 10
Clock cycle: 1903, Requests in queue: 107, Servers: 10
Clock cycle: 1904, Requests in queue: 107, Servers: 10
Clock cycle: 1905, Requests in queue: 107, Servers: 10
Clock cycle: 1906, Requests in queue: 107, Servers: 10
Clock cycle: 1907, Requests in queue: 107, Servers: 10
Clock cycle: 1908, Requests in queue: 107, Servers: 10
Clock cycle: 1909, Requests in queue: 107, Servers: 10
Clock cycle: 1910, Requests in queue: 107, Servers: 10
Clock cycle: 1911, Requests in queue: 107, Servers: 10
Clock cycle: 1912, Requests in queue: 107, Servers: 10
Clock cycle: 1913, Requests in queue: 107, Servers: 10
Clock cycle: 1914, Requests in queue: 107, Servers: 10
Clock cycle: 1916, Requests in queue: 108, Servers: 10
Clock cycle: 1917, Requests in queue: 108, Servers: 10
Clock cycle: 1918, Requests in queue: 108, Servers: 10
Clock cycle: 1919, Requests in queue: 108, Servers: 10
Clock cycle: 1920, Requests in queue: 108, Servers: 10
Clock cycle: 1921, Requests in queue: 108, Servers: 10
Clock cycle: 1922, Requests in queue: 108, Servers: 10
Clock cycle: 1923, Requests in queue: 108, Servers: 10
Clock cycle: 1925, Requests in queue: 109, Servers: 10
Clock cycle: 1926, Requests in queue: 109, Servers: 10
Clock cycle: 1927, Requests in queue: 109, Servers: 10
Clock cycle: 1928, Requests in queue: 109, Servers: 10
Clock cycle: 1929, Requests in queue: 109, Servers: 10
Clock cycle: 1930, Requests in queue: 109, Servers: 10
Clock cycle: 1931, Requests in queue: 109, Servers: 10
Clock cycle: 1932, Requests in queue: 109, Servers: 10
Clock cycle: 1933, Requests in queue: 109, Servers: 10
Clock cycle: 1934, Requests in queue: 109, Servers: 10
Clock cycle: 1937, Requests in queue: 109, Servers: 10
Clock cycle: 1938, Requests in queue: 109, Servers: 10
Clock cycle: 1939, Requests in queue: 109, Servers: 10
Clock cycle: 1940, Requests in queue: 109, Servers: 10
Clock cycle: 1942, Requests in queue: 110, Servers: 10
Clock cycle: 1943, Requests in queue: 110, Servers: 10
Clock cycle: 1944, Requests in queue: 110, Servers: 10
Clock cycle: 1946, Requests in queue: 111, Servers: 10
Clock cycle: 1948, Requests in queue: 112, Servers: 10
Clock cycle: 1949, Requests in queue: 112, Servers: 10
Clock cycle: 1951, Requests in queue: 113, Servers: 10
Clock cycle: 1952, Requests in queue: 113, Servers: 10
Clock cycle: 1953, Requests in queue: 113, Servers: 10
Clock cycle: 1954, Requests in queue: 113, Servers: 10
Clock cycle: 1955, Requests in queue: 113, Servers: 10
Clock cycle: 1957, Requests in queue: 112, Servers: 10
Clock cycle: 1959, Requests in queue: 113, Servers: 10
Clock cycle: 1960, Requests in queue: 113, Servers: 10
Clock cycle: 1961, Requests in queue: 113, Servers: 10
Clock cycle: 1962, Requests in queue: 113, Servers: 10
Clock cycle: 1963, Requests in queue: 113, Servers: 10
Clock cycle: 1964, Requests in queue: 113, Servers: 10
Clock cycle: 1965, Requests in queue: 113, Servers: 10
Clock cycle: 1966, Requests in queue: 113, Servers: 10
Clock cycle: 1968, Requests in queue: 112, Servers: 10
Clock cycle: 1969, Requests in queue: 112, Servers: 10
Clock cycle: 1970, Requests in queue: 112, Servers: 10
Clock cycle: 1971, Requests in queue: 112, Servers: 10
Clock cycle: 1972, Requests in queue: 112, Servers: 10
Clock cycle: 1973, Requests in queue: 112, Servers: 10
Clock cycle: 1974, Requests in queue: 112, Servers: 10
Clock cycle: 1976, Requests in queue: 111, Servers: 10
Clock cycle: 1977, Requests in queue: 111, Servers: 10
Clock cycle: 1978, Requests in queue: 111, Servers: 10
Clock cycle: 1979, Requests in queue: 111, Servers: 10
Clock cycle: 1980, Requests in queue: 111, Servers: 10
Clock cycle: 1982, Requests in queue: 112, Servers: 10
Clock cycle: 1983, Requests in queue: 112, Servers: 10
Clock cycle: 1985, Requests in queue: 111, Servers: 10
Clock cycle: 1986, Requests in queue: 111, Servers: 10
Clock cycle: 1987, Requests in queue: 111, Servers: 10
Clock cycle: 1988, Requests in queue: 111, Servers: 10
Clock cycle: 1989, Requests in queue: 111, Servers: 10
Clock cycle: 1990, Requests in queue: 111, Servers: 10
Clock cycle: 1991, Requests in queue: 111, Servers: 10
Clock cycle: 1992, Requests in queue: 111, Servers: 10
Clock cycle: 1994, Requests in queue: 112, Servers: 10
Clock cycle: 1996, Requests in queue: 113, Servers: 10
Clock cycle: 1998, Requests in queue: 114, Servers: 10
Clock cycle: 1999, Requests in queue: 114, Servers: 10
Clock cycle: 2000, Requests in queue: 114, Servers: 10
Clock cycle: 2001, Requests in queue: 114, Servers: 10
Clock cycle: 2002, Requests in queue: 114, Servers: 10
Clock cycle: 2003, Requests in queue: 114, Servers: 10
Clock cycle: 2004, Requests in queue: 114, Servers: 10
Clock cycle: 2005, Requests in queue: 114, Servers: 10
Clock cycle: 2006, Requests in queue: 114, Servers: 10
Clock cycle: 2007, Requests in queue: 114, Servers: 10
Clock cycle: 2008, Requests in queue: 114, Servers: 10
Clock cycle: 2009, Requests in queue: 114, Servers: 10
Clock cycle: 2011, Requests in queue: 113, Servers: 10
Clock cycle: 2012, Requests in queue: 113, Servers: 10
Clock cycle: 2013, Requests in queue: 113, Servers: 10
Clock cycle: 2015, Requests in queue: 114, Servers: 10
Clock cycle: 2016, Requests in queue: 114, Servers: 10
Clock cycle: 2017, Requests in queue: 114, Servers: 10
Clock cycle: 2019, Requests in queue: 113, Servers: 10
Clock cycle: 2020, Requests in queue: 113, Servers: 10
Clock cycle: 2021, Requests in queue: 113, Servers: 10
Clock cycle: 2022, Requests in queue: 113, Servers: 10
Clock cycle: 2023, Requests in queue: 113, Servers: 10
Clock cycle: 2025, Requests in queue: 114, Servers: 10
Clock cycle: 2026, Requests in queue: 114, Servers: 10
Clock cycle: 2027, Requests in queue: 114, Servers: 10
Clock cycle: 2028, Requests in queue: 114, Servers: 10
Clock cycle: 2029, Requests in queue: 114, Servers: 10
Clock cycle: 2030, Requests in queue: 114, Servers: 10
Clock cycle: 2031, Requests in queue: 114, Servers: 10
Clock cycle: 2033, Requests in queue: 115, Servers: 10
Clock cycle: 2034, Requests in queue: 115, Servers: 10
Clock cycle: 2035, Requests in queue: 115, Servers: 10
Clock cycle: 2036, Requests in queue: 115, Servers: 10
Clock cycle: 2037, Requests in queue: 115, Servers: 10
Clock cycle: 2038, Requests in queue: 115, Servers: 10
Clock cycle: 2039, Requests in queue: 115, Servers: 10
Clock cycle: 2040, Requests in queue: 115, Servers: 10
Clock cycle: 2041, Requests in queue: 115, Servers: 10
Clock cycle: 2042, Requests in queue: 115, Servers: 10
Clock cycle: 2043, Requests in queue: 115, Servers: 10
Clock cycle: 2044, Requests in queue: 115, Servers: 10
Clock cycle: 2045, Requests in queue: 115, Servers: 10
Clock cycle: 2046, Requests in queue: 115, Servers: 10
Clock cycle: 2048, Requests in queue: 116, Servers: 10
Clock cycle: 2049, Requests in queue: 116, Servers: 10
Clock cycle: 2050, Requests in queue: 116, Servers: 10
Clock cycle: 2052, Requests in queue: 115, Servers: 10
Clock cycle: 2053, Requests in queue: 115, Servers: 10
Clock cycle: 2054, Requests in queue: 115, Servers: 10
Clock cycle: 2055, Requests in queue: 115, Servers: 10
Clock cycle: 2056, Requests in queue: 115, Servers: 10
Clock cycle: 2057, Requests in queue: 115, Servers: 10
Clock cycle: 2058, Requests in queue: 115, Servers: 10
Clock cycle: 2060, Requests in queue: 114, Servers: 10
Clock cycle: 2061, Requests in queue: 114, Servers: 10
Clock cycle: 2062, Requests in queue: 114, Servers: 10
Clock cycle: 2063, Requests in queue: 114, Servers: 10
Clock cycle: 2064, Requests in queue: 114, Servers: 10
Clock cycle: 2066, Requests in queue: 113, Servers: 10
Clock cycle: 2067, Requests in queue: 113, Servers: 10
Clock cycle: 2068, Requests in queue: 113, Servers: 10
Clock cycle: 2070, Requests in queue: 114, Servers: 10
Clock cycle: 2071, Requests in queue: 114, Servers: 10
Clock cycle: 2073, Requests in queue: 113, Servers: 10
Clock cycle: 2074, Requests in queue: 113, Servers: 10
Clock cycle: 2075, Requests in queue: 113, Servers: 10
Clock cycle: 2076, Requests in queue: 113, Servers: 10
Clock cycle: 2077, Requests in queue: 113, Servers: 10
Clock cycle: 2078, Requests in queue: 113, Servers: 10
Clock cycle: 2079, Requests in queue: 113, Servers: 10
Clock cycle: 2080, Requests in queue: 113, Servers: 10
Clock cycle: 2081, Requests in queue: 113, Servers: 10
Clock cycle: 2082, Requests in queue: 113, Servers: 10
Clock cycle: 2083, Requests in queue: 113, Servers: 10
Clock cycle: 2084, Requests in queue: 113, Servers: 10
Clock cycle: 2085, Requests in queue: 113, Servers: 10
Clock cycle: 2086, Requests in queue: 113, Servers: 10
Clock cycle: 2087, Requests in queue: 113, Servers: 10
Clock cycle: 2088, Requests in queue: 113, Servers: 10
Clock cycle: 2089, Requests in queue: 113, Servers: 10
Clock cycle: 2090, Requests in queue: 113, Servers: 10
Clock cycle: 2091, Requests in queue: 113, Servers: 10
Clock cycle: 2092, Requests in queue: 113, Servers: 10
Clock cycle: 2093, Requests in queue: 113, Servers: 10
Clock cycle: 2094, Requests in queue: 113, Servers: 10
Clock cycle: 2095, Requests in queue: 113, Servers: 10
Clock cycle: 2096, Requests in queue: 113, Servers: 10
Clock cycle: 2097, Requests in queue: 113, Servers: 10
Clock cycle: 2099, Requests in queue: 112, Servers: 10
Clock cycle: 2100, Requests in queue: 112, Servers: 10
Clock cycle: 2101, Requests in queue: 112, Servers: 10
Clock cycle: 2102, Requests in queue: 112, Servers: 10
Clock cycle: 2103, Requests in queue: 112, Servers: 10
Clock cycle: 2104, Requests in queue: 112, Servers: 10
Clock cycle: 2105, Requests in queue: 112, Servers: 10
Clock cycle: 2106, Requests in queue: 112, Servers: 10
Clock cycle: 2107, Requests in queue: 112, Servers: 10
Clock cycle: 2108, Requests in queue: 112, Servers: 10
Clock cycle: 2109, Requests in queue: 112, Servers: 10
Clock cycle: 2110, Requests in queue: 112, Servers: 10
Clock cycle: 2111, Requests in queue: 112, Servers: 10
Clock cycle: 2112, Requests in queue: 112, Servers: 10
Clock cycle: 2114, Requests in queue: 113, Servers: 10
Clock cycle: 2115, Requests in queue: 113, Servers: 10
Clock cycle: 2116, Requests in queue: 113, Servers: 10
Clock cycle: 2118, Requests in queue: 114, Servers: 10
Clock cycle: 2119, Requests in queue: 114, Servers: 10
Clock cycle: 2120, Requests in queue: 114, Servers: 10
Clock cycle: 2121, Requests in queue: 114, Servers: 10
Clock cycle: 2122, Requests in queue: 114, Servers: 10
Clock cycle: 2123, Requests in queue: 114, Servers: 10
Clock cycle: 2124, Requests in queue: 114, Servers: 10
Clock cycle: 2125, Requests in queue: 114, Servers: 10
Clock cycle: 2126, Requests in queue: 114, Servers: 10
Clock cycle: 2127, Requests in queue: 114, Servers: 10
Clock cycle: 2128, Requests in queue: 114, Servers: 10
Clock cycle: 2129, Requests in queue: 114, Servers: 10
Clock cycle: 2130, Requests in queue: 114, Servers: 10
Clock cycle: 2131, Requests in queue: 114, Servers: 10
Clock cycle: 2132, Requests in queue: 114, Servers: 10
Clock cycle: 2133, Requests in queue: 114, Servers: 10
Clock cycle: 2134, Requests in queue: 114, Servers: 10
Clock cycle: 2135, Requests in queue: 114, Servers: 10
Clock cycle: 2138, Requests in queue: 114, Servers: 10
Clock cycle: 2139, Requests in queue: 114, Servers: 10
Clock cycle: 2140, Requests in queue: 114, Servers: 10
Clock cycle: 2141, Requests in queue: 114, Servers: 10
Clock cycle: 2142, Requests in queue: 114, Servers: 10
Clock cycle: 2143, Requests in queue: 114, Servers: 10
Clock cycle: 2144, Requests in queue: 114, Servers: 10
Clock cycle: 2145, Requests in queue: 114, Servers: 10
Clock cycle: 2147, Requests in queue: 115, Servers: 10
Clock cycle: 2148, Requests in queue: 115, Servers: 10
Clock cycle: 2149, Requests in queue: 115, Servers: 10
Clock cycle: 2150, Requests in queue: 115, Servers: 10
Clock cycle: 2151, Requests in queue: 115, Servers: 10
Clock cycle: 2152, Requests in queue: 115, Servers: 10
Clock cycle: 2153, Requests in queue: 115, Servers: 10
Clock cycle: 2154, Requests in queue: 115, Servers: 10
Clock cycle: 2155, Requests in queue: 115, Servers: 10
Clock cycle: 2156, Requests in queue: 115, Servers: 10
Clock cycle: 2157, Requests in queue: 115, Servers: 10
Clock cycle: 2158, Requests in queue: 115, Servers: 10
Clock cycle: 2159, Requests in queue: 115, Servers: 10
Clock cycle: 2161, Requests in queue: 116, Servers: 10
Clock cycle: 2162, Requests in queue: 116, Servers: 10
Clock cycle: 2163, Requests in queue: 116, Servers: 10
Clock cycle: 2164, Requests in queue: 116, Servers: 10
Clock cycle: 2165, Requests in queue: 116, Servers: 10
Clock cycle: 2166, Requests in queue: 116, Servers: 10
Clock cycle: 2167, Requests in queue: 116, Servers: 10
Clock cycle: 2168, Requests in queue: 116, Servers: 10
Clock cycle: 2169, Requests in queue: 116, Servers: 10
Clock cycle: 2170, Requests in queue: 116, Servers: 10
Clock cycle: 2171, Requests in queue: 116, Servers: 10
Clock cycle: 2172, Requests in queue: 116, Servers: 10
Clock cycle: 2173, Requests in queue: 116, Servers: 10
Clock cycle: 2175, Requests in queue: 117, Servers: 10
Clock cycle: 2176, Requests in queue: 117, Servers: 10
Clock cycle: 2177, Requests in queue: 117, Servers: 10
Clock cycle: 2178, Requests in queue: 117, Servers: 10
Clock cycle: 2179, Requests in queue: 117, Servers: 10
Clock cycle: 2180, Requests in queue: 117, Servers: 10
Clock cycle: 2182, Requests in queue: 118, Servers: 10
Clock cycle: 2183, Requests in queue: 118, Servers: 10
Clock cycle: 2184, Requests in queue: 118, Servers: 10
Clock cycle: 2186, Requests in queue: 119, Servers: 10
Clock cycle: 2187, Requests in queue: 119, Servers: 10
Clock cycle: 2188, Requests in queue: 119, Servers: 10
Clock cycle: 2189, Requests in queue: 119, Servers: 10
Clock cycle: 2190, Requests in queue: 119, Servers: 10
Clock cycle: 2191, Requests in queue: 119, Servers: 10
Clock cycle: 2192, Requests in queue: 119, Servers: 10
Clock cycle: 2193, Requests in queue: 119, Servers: 10
Clock cycle: 2194, Requests in queue: 119, Servers: 10
Clock cycle: 2195, Requests in queue: 119, Servers: 10
Clock cycle: 2196, Requests in queue: 119, Servers: 10
Clock cycle: 2197, Requests in queue: 119, Servers: 10
Clock cycle: 2198, Requests in queue: 119, Servers: 10
Clock cycle: 2199, Requests in queue: 119, Servers: 10
Clock cycle: 2200, Requests in queue: 119, Servers: 10
Clock cycle: 2201, Requests in queue: 119, Servers: 10
Clock cycle: 2202, Requests in queue: 119, Servers: 10
Clock cycle: 2203, Requests in queue: 119, Servers: 10
Clock cycle: 2204, Requests in queue: 119, Servers: 10
Clock cycle: 2205, Requests in queue: 119, Servers: 10
Clock cycle: 2206, Requests in queue: 119, Servers: 10
Clock cycle: 2207, Requests in queue: 119, Servers: 10
Clock cycle: 2208, Requests in queue: 119, Servers: 10
Clock cycle: 2209, Requests in queue: 119, Servers: 10
Clock cycle: 2210, Requests in queue: 119, Servers: 10
Clock cycle: 2211, Requests in queue: 119, Servers: 10
Clock cycle: 2212, Requests in queue: 119, Servers: 10
Clock cycle: 2213, Requests in queue: 119, Servers: 10
Clock cycle: 2214, Requests in queue: 119, Servers: 10
Clock cycle: 2215, Requests in queue: 119, Servers: 10
Clock cycle: 2217, Requests in queue: 120, Servers: 10
Clock cycle: 2218, Requests in queue: 120, Servers: 10
Clock cycle: 2219, Requests in queue: 120, Servers: 10
Clock cycle: 2220, Requests in queue: 120, Servers: 10
Clock cycle: 2221, Requests in queue: 120, Servers: 10
Clock cycle: 2222, Requests in queue: 120, Servers: 10
Clock cycle: 2224, Requests in queue: 119, Servers: 10
Clock cycle: 2225, Requests in queue: 119, Servers: 10
Clock cycle: 2226, Requests in queue: 119, Servers: 10
Clock cycle: 2227, Requests in queue: 119, Servers: 10
Clock cycle: 2228, Requests in queue: 119, Servers: 10
Clock cycle: 2229, Requests in queue: 119, Servers: 10
Clock cycle: 2230, Requests in queue: 119, Servers: 10
Clock cycle: 2231, Requests in queue: 119, Servers: 10
Clock cycle: 2232, Requests in queue: 119, Servers: 10
Clock cycle: 2233, Requests in queue: 119, Servers: 10
Clock cycle: 2234, Requests in queue: 119, Servers: 10
Clock cycle: 2235, Requests in queue: 119, Servers: 10
Clock cycle: 2236, Requests in queue: 119, Servers: 10
Clock cycle: 2237, Requests in queue: 119, Servers: 10
Clock cycle: 2238, Requests in queue: 119, Servers: 10
Clock cycle: 2240, Requests in queue: 120, Servers: 10
Clock cycle: 2241, Requests in queue: 120, Servers: 10
Clock cycle: 2242, Requests in queue: 120, Servers: 10
Clock cycle: 2243, Requests in queue: 120, Servers: 10
Clock cycle: 2244, Requests in queue: 120, Servers: 10
Clock cycle: 2245, Requests in queue: 120, Servers: 10
Clock cycle: 2246, Requests in queue: 120, Servers: 10
Clock cycle: 2248, Requests in queue: 121, Servers: 10
Clock cycle: 2250, Requests in queue: 122, Servers: 10
Clock cycle: 2251, Requests in queue: 122, Servers: 10
Clock cycle: 2252, Requests in queue: 122, Servers: 10
Clock cycle: 2254, Requests in queue: 123, Servers: 10
Clock cycle: 2255, Requests in queue: 123, Servers: 10
Clock cycle: 2256, Requests in queue: 123, Servers: 10
Clock cycle: 2258, Requests in queue: 124, Servers: 10
Clock cycle: 2259, Requests in queue: 124, Servers: 10
Clock cycle: 2260, Requests in queue: 124, Servers: 10
Clock cycle: 2261, Requests in queue: 124, Servers: 10
Clock cycle: 2262, Requests in queue: 124, Servers: 10
Clock cycle: 2263, Requests in queue: 124, Servers: 10
Clock cycle: 2264, Requests in queue: 124, Servers: 10
Clock cycle: 2265, Requests in queue: 124, Servers: 10
Clock cycle: 2266, Requests in queue: 124, Servers: 10
Clock cycle: 2267, Requests in queue: 124, Servers: 10
Clock cycle: 2269, Requests in queue: 123, Servers: 10
Clock cycle: 2270, Requests in queue: 123, Servers: 10
Clock cycle: 2271, Requests in queue: 123, Servers: 10
Clock cycle: 2272, Requests in queue: 123, Servers: 10
Clock cycle: 2274, Requests in queue: 124, Servers: 10
Clock cycle: 2275, Requests in queue: 124, Servers: 10
Clock cycle: 2276, Requests in queue: 124, Servers: 10
Clock cycle: 2277, Requests in queue: 124, Servers: 10
Clock cycle: 2278, Requests in queue: 124, Servers: 10
Clock cycle: 2279, Requests in queue: 124, Servers: 10
Clock cycle: 2280, Requests in queue: 124, Servers: 10
Clock cycle: 2281, Requests in queue: 124, Servers: 10
Clock cycle: 2283, Requests in queue: 125, Servers: 10
Clock cycle: 2284, Requests in queue: 125, Servers: 10
Clock cycle: 2285, Requests in queue: 125, Servers: 10
Clock cycle: 2286, Requests in queue: 125, Servers: 10
Clock cycle: 2287, Requests in queue: 125, Servers: 10
Clock cycle: 2288, Requests in queue: 125, Servers: 10
Clock cycle: 2289, Requests in queue: 125, Servers: 10
Clock cycle: 2290, Requests in queue: 125, Servers: 10
Clock cycle: 2291, Requests in queue: 125, Servers: 10
Clock cycle: 2292, Requests in queue: 125, Servers: 10
Clock cycle: 2293, Requests in queue: 125, Servers: 10
Clock cycle: 2294, Requests in queue: 125, Servers: 10
Clock cycle: 2295, Requests in queue: 125, Servers: 10
Clock cycle: 2296, Requests in queue: 125, Servers: 10
Clock cycle: 2297, Requests in queue: 125, Servers: 10
Clock cycle: 2298, Requests in queue: 125, Servers: 10
Clock cycle: 2300, Requests in queue: 126, Servers: 10
Clock cycle: 2301, Requests in queue: 126, Servers: 10
Clock cycle: 2302, Requests in queue: 126, Servers: 10
Clock cycle: 2303, Requests in queue: 126, Servers: 10
Clock cycle: 2304, Requests in queue: 126, Servers: 10
Clock cycle: 2306, Requests in queue: 127, Servers: 10
Clock cycle: 2307, Requests in queue: 127, Servers: 10
Clock cycle: 2308, Requests in queue: 127, Servers: 10
Clock cycle: 2309, Requests in queue: 127, Servers: 10
Clock cycle: 2310, Requests in queue: 127, Servers: 10
Clock cycle: 2311, Requests in queue: 127, Servers: 10
Clock cycle: 2312, Requests in queue: 127, Servers: 10
Clock cycle: 2313, Requests in queue: 127, Servers: 10
Clock cycle: 2314, Requests in queue: 127, Servers: 10
Clock cycle: 2316, Requests in queue: 126, Servers: 10
Clock cycle: 2317, Requests in queue: 126, Servers: 10
Clock cycle: 2318, Requests in queue: 126, Servers: 10
Clock cycle: 2319, Requests in queue: 126, Servers: 10
Clock cycle: 2320, Requests in queue: 126, Servers: 10
Clock cycle: 2321, Requests in queue: 126, Servers: 10
Clock cycle: 2322, Requests in queue: 126, Servers: 10
Clock cycle: 2323, Requests in queue: 126, Servers: 10
Clock cycle: 2324, Requests in queue: 126, Servers: 10
Clock cycle: 2325, Requests in queue: 126, Servers: 10
Clock cycle: 2326, Requests in queue: 126, Servers: 10
Clock cycle: 2327, Requests in queue: 126, Servers: 10
Clock cycle: 2328, Requests in queue: 126, Servers: 10
Clock cycle: 2329, Requests in queue: 126, Servers: 10
Clock cycle: 2330, Requests in queue: 126, Servers: 10
Clock cycle: 2331, Requests in queue: 126, Servers: 10
Clock cycle: 2333, Requests in queue: 125, Servers: 10
Clock cycle: 2334, Requests in queue: 125, Servers: 10
Clock cycle: 2335, Requests in queue: 125, Servers: 10
Clock cycle: 2336, Requests in queue: 125, Servers: 10
Clock cycle: 2337, Requests in queue: 125, Servers: 10
Clock cycle: 2338, Requests in queue: 125, Servers: 10
Clock cycle: 2339, Requests in queue: 125, Servers: 10
Clock cycle: 2340, Requests in queue: 125, Servers: 10
Clock cycle: 2341, Requests in queue: 125, Servers: 10
Clock cycle: 2342, Requests in queue: 125, Servers: 10
Clock cycle: 2343, Requests in queue: 125, Servers: 10
Clock cycle: 2344, Requests in queue: 125, Servers: 10
Clock cycle: 2345, Requests in queue: 125, Servers: 10
Clock cycle: 2346, Requests in queue: 125, Servers: 10
Clock cycle: 2347, Requests in queue: 125, Servers: 10
Clock cycle: 2348, Requests in queue: 125, Servers: 10
Clock cycle: 2349, Requests in queue: 125, Servers: 10
Clock cycle: 2350, Requests in queue: 125, Servers: 10
Clock cycle: 2351, Requests in queue: 125, Servers: 10
Clock cycle: 2352, Requests in queue: 125, Servers: 10
Clock cycle: 2353, Requests in queue: 125, Servers: 10
Clock cycle: 2354, Requests in queue: 125, Servers: 10
Clock cycle: 2355, Requests in queue: 125, Servers: 10
Clock cycle: 2356, Requests in queue: 125, Servers: 10
Clock cycle: 2357, Requests in queue: 125, Servers: 10
Clock cycle: 2358, Requests in queue: 125, Servers: 10
Clock cycle: 2359, Requests in queue: 125, Servers: 10
Clock cycle: 2360, Requests in queue: 125, Servers: 10
Clock cycle: 2361, Requests in queue: 125, Servers: 10
Clock cycle: 2362, Requests in queue: 125, Servers: 10
Clock cycle: 2363, Requests in queue: 125, Servers: 10
Clock cycle: 2364, Requests in queue: 125, Servers: 10
Clock cycle: 2365, Requests in queue: 125, Servers: 10
Clock cycle: 2366, Requests in queue: 125, Servers: 10
Clock cycle: 2368, Requests in queue: 126, Servers: 10
Clock cycle: 2369, Requests in queue: 126, Servers: 10
Clock cycle: 2370, Requests in queue: 126, Servers: 10
Clock cycle: 2371, Requests in queue: 126, Servers: 10
Clock cycle: 2372, Requests in queue: 126, Servers: 10
Clock cycle: 2374, Requests in queue: 127, Servers: 10
Clock cycle: 2375, Requests in queue: 127, Servers: 10
Clock cycle: 2378, Requests in queue: 127, Servers: 10
Clock cycle: 2379, Requests in queue: 127, Servers: 10
Clock cycle: 2380, Requests in queue: 127, Servers: 10
Clock cycle: 2381, Requests in queue: 127, Servers: 10
Clock cycle: 2382, Requests in queue: 127, Servers: 10
Clock cycle: 2383, Requests in queue: 127, Servers: 10
Clock cycle: 2384, Requests in queue: 127, Servers: 10
Clock cycle: 2385, Requests in queue: 127, Servers: 10
Clock cycle: 2387, Requests in queue: 128, Servers: 10
Clock cycle: 2389, Requests in queue: 129, Servers: 10
Clock cycle: 2390, Requests in queue: 129, Servers: 10
Clock cycle: 2391, Requests in queue: 129, Servers: 10
Clock cycle: 2392, Requests in queue: 129, Servers: 10
Clock cycle: 2393, Requests in queue: 129, Servers: 10
Clock cycle: 2394, Requests in queue: 129, Servers: 10
Clock cycle: 2395, Requests in queue: 129, Servers: 10
Clock cycle: 2396, Requests in queue: 129, Servers: 10
Clock cycle: 2398, Requests in queue: 128, Servers: 10
Clock cycle: 2399, Requests in queue: 128, Servers: 10
Clock cycle: 2400, Requests in queue: 128, Servers: 10
Clock cycle: 2401, Requests in queue: 128, Servers: 10
Clock cycle: 2402, Requests in queue: 128, Servers: 10
Clock cycle: 2403, Requests in queue: 128, Servers: 10
Clock cycle: 2404, Requests in queue: 128, Servers: 10
Clock cycle: 2405, Requests in queue: 128, Servers: 10
Clock cycle: 2406, Requests in queue: 128, Servers: 10
Clock cycle: 2407, Requests in queue: 128, Servers: 10
Clock cycle: 2408, Requests in queue: 128, Servers: 10
Clock cycle: 2410, Requests in queue: 129, Servers: 10
Clock cycle: 2412, Requests in queue: 130, Servers: 10
Clock cycle: 2414, Requests in queue: 131, Servers: 10
Clock cycle: 2415, Requests in queue: 131, Servers: 10
Clock cycle: 2416, Requests in queue: 131, Servers: 10
Clock cycle: 2417, Requests in queue: 131, Servers: 10
Clock cycle: 2418, Requests in queue: 131, Servers: 10
Clock cycle: 2419, Requests in queue: 131, Servers: 10
Clock cycle: 2420, Requests in queue: 131, Servers: 10
Clock cycle: 2421, Requests in queue: 131, Servers: 10
Clock cycle: 2423, Requests in queue: 130, Servers: 10
Clock cycle: 2424, Requests in queue: 130, Servers: 10
Clock cycle: 2425, Requests in queue: 130, Servers: 10
Clock cycle: 2426, Requests in queue: 130, Servers: 10
Clock cycle: 2427, Requests in queue: 130, Servers: 10
Clock cycle: 2428, Requests in queue: 130, Servers: 10
Clock cycle: 2430, Requests in queue: 131, Servers: 10
Clock cycle: 2431, Requests in queue: 131, Servers: 10
Clock cycle: 2432, Requests in queue: 131, Servers: 10
Clock cycle: 2433, Requests in queue: 131, Servers: 10
Clock cycle: 2434, Requests in queue: 131, Servers: 10
Clock cycle: 2435, Requests in queue: 131, Servers: 10
Clock cycle: 2437, Requests in queue: 132, Servers: 10
Clock cycle: 2438, Requests in queue: 132, Servers: 10
Clock cycle: 2439, Requests in queue: 132, Servers: 10
Clock cycle: 2440, Requests in queue: 132, Servers: 10
Clock cycle: 2441, Requests in queue: 132, Servers: 10
Clock cycle: 2442, Requests in queue: 132, Servers: 10
Clock cycle: 2443, Requests in queue: 132, Servers: 10
Clock cycle: 2444, Requests in queue: 132, Servers: 10
